,Site1,Site2,Site3,Site4,Site5,Site6,Site7,Site8
0,1745.5,1330.972222,1401.583333,816.1944444,986.0277778,565.25,537.5555556,1434.611111
1,1520.75,1773.805556,1796.222222,966.6388889,1339.555556,823.0277778,866.5555556,1407.5
2,2429.361111,2122.416667,2310.694444,1612.944444,2601.111111,1194.083333,1272.194444,1999
3,3189.555556,2235.916667,1731.333333,1235.638889,2114.75,964.9444444,929.0833333,2518.833333
4,581.2222222,411.1111111,1042.444444,536.1944444,569.6388889,631.75,801.6111111,2371.277778
5,2229.666667,1324.416667,1444.555556,869.7777778,1171.638889,292.8611111,275.1666667,2454.694444
6,2091.805556,981.6666667,895.75,304.4444444,1219.5,327,340.1111111,2753.611111
7,2487,1946.472222,1380.305556,668.1666667,1338.416667,359.8333333,423.2777778,2984.361111
8,1189.888889,577.4444444,653.1111111,281.9166667,684,236.2222222,240.7777778,3668.055556
9,433.8888889,399.25,605.1111111,736.8611111,1025.25,1130.333333,1091.638889,686.8333333
10,1134.972222,559.5,249.4444444,250.5555556,767.7222222,301.3055556,441.3055556,2321.611111
11,382.4722222,422.6388889,511.3055556,593.1388889,583.1388889,613.1111111,827.1944444,992.3888889
12,274.5833333,114.6666667,91.61111111,356.0555556,436.4722222,485.0277778,873,957.7777778
13,1716.777778,1303.194444,771.8333333,940.5833333,1128.25,1420.333333,1430.111111,1809.777778
14,901.8888889,532.4444444,542.3055556,283.9166667,1206.027778,265.0833333,369.0277778,1138.805556
15,1119.333333,877.4166667,718.5833333,372.4166667,1651.972222,411.1388889,402.2222222,1673.833333
16,1254.833333,1087.694444,949.75,860.8333333,1147.611111,931.3055556,903.0833333,1626.583333
17,1061.861111,483.6111111,391.8888889,246.1944444,356.3611111,352.8055556,543.0277778,885.3611111
18,1038.333333,1441.416667,1217.277778,520.3055556,789.5,582.1666667,576.0277778,961.0277778
19,1082.583333,1071.5,702.9722222,408.1666667,460.8888889,294.6111111,321.3055556,1138.944444
20,933.8611111,847.1666667,808.1944444,833.5,913.9444444,806.75,699.25,1096.583333
21,1034.25,806.5277778,966.1666667,861.6944444,734.0833333,769.8611111,652.1111111,1196.888889
22,1449.472222,1400.833333,1479.277778,1091.305556,1453.777778,538.4166667,494.3333333,1458.166667
23,1775.972222,1921.277778,2670.5,2008.666667,2795.611111,2065.666667,1489.944444,1304.083333
