,Site1,Site2,Site3,Site4,Site5,Site6,Site7,Site8
0,2886.5,2932,3246,3530,3578.5,3655,3683.5,2091
1,2906.5,2937,3242.5,3542.5,3616.5,3694,3657,2079
2,2952.5,2986,3254.5,3622,3666,3781.5,3783,2071
3,2905,2970.5,3270,3659,3686.5,3766.5,3809,2134
4,2986.5,2998.5,3322.5,3650,3725.5,3781.5,3797,2237.5
5,2955.5,3017.5,3308,3641,3739,3796.5,3823,2172
6,2899,2957.5,3299,3580.5,3610.5,3731,3748.5,2121
7,2938,2986.5,3328.5,3615.5,3655,3800,3836,2136
8,3045,3086,3357.5,3684.5,3799,3793,3770,2140
9,3046.5,3076.5,3317.5,3693,3761,3822,3852,2169.5
10,3012.5,3136,3350.5,3703,3767.5,3874.5,3887.5,2260
11,3117.5,3212.5,3486,3776.5,3854.5,3942,3958,2364
12,3124,3183,3511,3844,3910.5,3984,3988.5,2366
13,3185,3204,3491,3875,3938.5,3997.5,4007.5,2349.5
14,3203,3234,3523.5,3870,3921.5,3996.5,3965.5,2387
15,3250,3324,3590,3896.5,3948.5,4057,3997.5,2446.5
16,3301,3299.5,3576.5,3976.5,3995.5,4123.5,4127,2453.5
17,3343,3336,3592,3980.5,3999,4072.5,4079,2498
18,3354.5,3352,3638.5,4037.5,4090,4129,4108.5,2514.5
19,3413,3380.5,3653.5,4053.5,4109.5,4135,4158.5,2528.5
20,3394,3386.5,3648.5,4094,4175.5,4241.5,4186.5,2629
21,3409,3404,3727,4104,4094.5,4221.5,4272,2516
22,3348.5,3452.5,3765,4130.5,4177,4263.5,4224,2559
23,3485,3441.5,3767,4090.5,4151.5,4240.5,4287.5,2547
24,3452.5,3483.5,3830.5,4135,4153.5,4303.5,4330,2614
25,3550.5,3521.5,3788,4195,4228.5,4391,4363,2769
26,3584.5,3641.5,3837,4274,4311.5,4390.5,4365.5,2775
27,3609.5,3626,3999.5,4355,4394.5,4468,4460,2790.5
28,3716.5,3689.5,3996,4269.5,4325.5,4394,4415.5,2811
29,3792.5,3728,4005.5,4450.5,4463.5,4593.5,4486.5,2836.5
30,3784,3785,4097.5,4363,4390.5,4501.5,4542.5,2909.5
31,3833,3839.5,4106,4446.5,4435,4576.5,4599.5,2969
32,3823,3893,4135.5,4598.5,4570,4724,4716.5,3007
33,3885.5,3852.5,4143,4523,4561.5,4686,4710.5,2993.5
34,4020.5,3992.5,4291,4638,4647.5,4710,4647,3103
35,4020.5,4057.5,4344.5,4696.5,4741,4821.5,4796,3149.5
36,3946.5,3944,4328,4740.5,4612,4867.5,4863.5,3172
37,4060,4121,4317.5,4729.5,4725,4827,4815.5,3190.5
38,4114,4162,4366.5,4806,4768.5,4852.5,4832.5,3223.5
39,4246,4198.5,4446.5,4835,4848,4951,4969.5,3295
40,4191,4204,4473.5,4938,4971,5047,5066.5,3374
41,4246,4239,4499.5,4979.5,4982.5,5098.5,5083.5,3445.5
42,4365.5,4283.5,4607.5,5005.5,5003.5,5146.5,5127.5,3519.5
43,4427.5,4363.5,4676,4992.5,4971,5171.5,5169,3432
44,4379,4434,4668,4993,5005.5,5098,5073,3503
45,4427,4473.5,4685.5,5097,5067,5206.5,5179,3644
46,4458.5,4474.5,4867,5210,5151.5,5349,5331,3731
47,4530,4502,4740,5129.5,5064,5309.5,5279.5,3773
48,4628.5,4491,4801.5,5167,5120.5,5297.5,5234.5,3828.5
49,4700.5,4626,4812,5208.5,5193.5,5380.5,5276.5,3900.5
50,4822,4762.5,4929.5,5241.5,5263,5357.5,5329,3854.5
51,4793,4737.5,4940,5400.5,5339.5,5480,5412,3948.5
52,4962.5,4857,5048.5,5417,5411,5501.5,5467.5,4039.5
53,4946.5,4851,5072.5,5506.5,5505,5692.5,5622,4114.5
54,4968.5,4956.5,5178.5,5587.5,5573,5678.5,5617,4179.5
55,5092.5,4948,5208.5,5568,5512.5,5678.5,5680,4268.5
56,5139.5,5038.5,5258.5,5700.5,5660.5,5789,5797.5,4287.5
57,5269.5,5071.5,5352.5,5677,5668,5824,5830.5,4234
58,5358.5,5179.5,5477.5,5713.5,5660,5843.5,5869.5,4350
59,5333.5,5214.5,5431.5,5845,5765,5960,5869,4372
60,5449,5278.5,5546.5,5908,5850.5,5976.5,5947,4453.5
61,5383.5,5193.5,5543.5,6041.5,6009,6144,6142,4489
62,5528,5365.5,5597.5,6090.5,6015,6229,6179.5,4502
63,5653.5,5466.5,5681.5,6020,5969.5,6011.5,6039,4673.5
64,5735,5555,5638,6068,6014.5,6177,6142,4668.5
65,5715,5567.5,5884,6125,6146.5,6135.5,6074,4712
66,5766.5,5559.5,5791.5,6173.5,6121.5,6242,6146.5,4798
67,5847.5,5672.5,5888,6312.5,6186.5,6248,6213.5,4829
68,5842.5,5714.5,5945.5,6385,6317.5,6404,6332.5,4847
69,5948,5796,5906.5,6280,6272,6364.5,6319,5039
70,5971.5,5836,5954.5,6246,6247,6400.5,6339,5131.5
71,6032.5,5841,6098,6404.5,6327,6432.5,6335,5136
