,Site9
0,2091.0
1,2079.0
2,2071.0
3,2134.0
4,2237.5
5,2172.0
6,2121.0
7,2136.0
8,2140.0
9,2169.5
10,2260.0
11,2364.0
12,2366.0
13,2349.5
14,2387.0
15,2446.5
16,2453.5
17,2498.0
18,2514.5
19,2528.5
20,2629.0
21,2516.0
22,2559.0
23,2547.0
24,2614.0
25,2769.0
26,2775.0
27,2790.5
28,2811.0
29,2836.5
30,2909.5
31,2969.0
32,3007.0
33,2993.5
34,3103.0
35,3149.5
36,3172.0
37,3190.5
38,3223.5
39,3295.0
40,3374.0
41,3445.5
42,3519.5
43,3432.0
44,3503.0
45,3644.0
46,3731.0
47,3773.0
48,3828.5
49,3900.5
50,3854.5
51,3948.5
52,4039.5
53,4114.5
54,4179.5
55,4268.5
56,4287.5
57,4234.0
58,4350.0
59,4372.0
60,4453.5
61,4489.0
62,4502.0
63,4673.5
64,4668.5
65,4712.0
66,4798.0
67,4829.0
68,4847.0
69,5039.0
70,5131.5
71,5136.0
72,5138.5
73,5108.5
74,5264.0
75,5360.0
76,5390.0
77,5506.0
78,5468.5
79,5661.5
80,5700.0
81,5667.5
82,5673.0
83,5782.5
84,5819.0
85,5851.5
86,5956.5
87,5996.0
88,6133.5
89,6162.0
90,6323.5
91,6229.5
92,6338.0
93,6322.0
94,6377.5
95,6516.0
96,6542.0
97,6564.0
98,6611.5
99,6682.5
100,6735.5
101,6762.5
102,6903.0
103,6926.0
104,6947.0
105,6971.5
106,6976.5
107,7150.0
108,7171.5
109,7230.0
110,7299.0
111,7414.5
112,7380.5
113,7500.0
114,7472.5
115,7432.0
116,7451.0
117,7519.0
118,7625.0
119,7604.0
120,7710.0
121,7690.5
122,7874.0
123,7862.5
124,7879.5
125,7910.5
126,7933.5
127,7981.5
128,8012.5
129,8096.5
130,8064.5
131,8211.0
132,8111.0
133,8065.0
134,8102.0
135,8162.5
136,8238.5
137,8247.0
138,8351.5
139,8295.0
140,8324.5
141,8395.0
142,8449.5
143,8463.5
144,8505.0
145,8427.0
146,8414.5
147,8428.5
148,8561.0
149,8482.0
150,8513.0
151,8559.5
152,8522.0
153,8604.5
154,8654.5
155,8635.0
156,8640.5
157,8753.5
158,8677.0
159,8735.0
160,8750.5
161,8683.0
162,8833.0
163,8748.5
164,8784.5
165,8790.5
166,8978.5
167,8884.0
168,8697.5
169,8716.0
170,8777.5
171,8784.0
172,8816.5
173,8817.0
174,8864.0
175,8771.5
176,8707.0
177,8668.5
178,8726.5
179,8725.5
180,8731.0
181,8716.0
182,8749.0
183,8752.0
184,8665.0
185,8687.5
186,8611.0
187,8681.0
188,8569.0
189,8647.0
190,8559.5
191,8654.5
192,8641.0
193,8554.5
194,8501.0
195,8578.0
196,8439.5
197,8465.0
198,8373.0
199,8477.0
200,8346.0
201,8283.0
202,8293.5
203,8259.5
204,8228.5
205,8235.5
206,8223.5
207,8116.0
208,8115.5
209,8108.5
210,8099.0
211,8059.0
212,8024.5
213,8053.0
214,7868.0
215,7778.5
216,7736.5
217,7746.0
218,7737.0
219,7804.5
220,7604.5
221,7589.0
222,7585.0
223,7472.5
224,7549.0
225,7474.5
226,7448.5
227,7411.0
228,7319.0
229,7212.0
230,7180.0
231,7132.5
232,7084.0
233,7075.0
234,6993.0
235,7005.0
236,6976.0
237,6836.5
238,6762.0
239,6710.0
240,6663.5
241,6616.5
242,6659.5
243,6634.0
244,6519.0
245,6434.5
246,6447.0
247,6399.0
248,6246.0
249,6231.0
250,6252.0
251,6274.0
252,6214.0
253,6138.0
254,6015.0
255,6033.0
256,5884.5
257,5711.5
258,5659.0
259,5612.0
260,5603.0
261,5520.5
262,5530.5
263,5534.5
264,5577.5
265,5513.5
266,5359.5
267,5253.0
268,5170.0
269,5213.0
270,5083.5
271,4877.5
272,4945.5
273,4781.5
274,4837.5
275,4795.0
276,4705.5
277,4657.5
278,4629.5
279,4607.0
280,4406.0
281,4504.0
282,4358.5
283,4310.5
284,4267.0
285,4205.0
286,4129.0
287,4086.0
288,4021.0
289,3966.5
290,3859.0
291,3807.0
292,3796.0
293,3723.5
294,3681.5
295,3635.5
296,3551.5
297,3587.5
298,3655.5
299,3348.0
300,3428.5
301,3315.5
302,3494.5
303,3422.0
304,3368.5
305,3248.5
306,3138.5
307,3126.5
308,3004.5
309,3021.5
310,2945.0
311,2825.0
312,2771.5
313,2787.5
314,2777.5
315,2700.5
316,2656.0
317,2632.5
318,2734.0
319,2693.5
320,2604.5
321,2524.0
322,2471.5
323,2472.0
324,2484.0
325,2430.5
326,2475.5
327,2307.5
328,2410.0
329,2358.0
330,2280.0
331,2302.5
332,2259.0
333,2263.0
334,2189.0
335,2188.5
336,2139.5
337,2149.5
338,2092.5
339,2092.0
340,2201.0
341,2130.0
342,2090.5
343,2064.5
344,2030.5
345,1996.5
346,2022.0
347,2022.5
348,2025.5
349,2057.0
350,1944.5
351,1938.5
352,1944.0
353,1874.0
354,1999.0
355,1998.0
356,1998.0
357,2032.5
358,1993.5
359,1987.0
360,1900.0
361,1989.0
362,1962.0
363,2069.5
364,2091.5
