,Site9
0,1137.0
1,857.0
2,286.0
3,1083.5
4,1290.5
5,415.5
6,880.0
7,875.0
8,685.5
9,275.5
10,610.5
11,381.5
12,216.5
13,1144.0
14,391.0
15,1306.5
16,1799.5
17,1017.5
18,537.0
19,301.5
20,1418.0
21,1930.5
22,1052.0
23,607.0
24,1057.5
25,1378.5
26,2521.0
27,2790.5
28,2811.0
29,727.0
30,883.5
31,275.5
32,1491.5
33,1817.5
34,1846.0
35,1241.0
36,1109.0
37,1256.5
38,570.5
39,2238.5
40,1773.0
41,592.0
42,780.5
43,378.0
44,584.0
45,2601.0
46,3485.5
47,3651.0
48,1576.5
49,2684.0
50,1562.5
51,519.0
52,960.0
53,2685.5
54,3435.0
55,570.5
56,389.0
57,2277.0
58,930.5
59,1389.0
60,2321.5
61,1035.0
62,1239.5
63,2597.5
64,2871.0
65,1957.5
66,2295.5
67,3624.0
68,1767.5
69,2766.0
70,4348.0
71,1817.5
72,2511.5
73,2767.0
74,3271.0
75,1347.0
76,977.0
77,2469.5
78,3757.0
79,4753.5
80,805.0
81,3261.0
82,4802.0
83,1753.5
84,5666.0
85,1797.0
86,2784.0
87,4857.0
88,5798.5
89,5578.0
90,5542.0
91,5366.0
92,6146.0
93,1681.0
94,4719.0
95,2335.5
96,6280.5
97,3958.0
98,1253.5
99,6451.0
100,5340.5
101,4390.5
102,1564.0
103,2884.5
104,3963.5
105,3840.0
106,5275.0
107,4703.5
108,3534.5
109,7005.0
110,4460.0
111,3791.0
112,3165.5
113,3845.0
114,4548.5
115,6170.0
116,2303.5
117,4056.0
118,5575.5
119,7200.5
120,4828.0
121,4630.5
122,4749.5
123,4378.5
124,4841.0
125,7378.5
126,5105.0
127,3835.5
128,3988.0
129,2228.0
130,4461.0
131,6371.5
132,4625.0
133,6305.0
134,6417.5
135,4322.0
136,4265.5
137,6410.0
138,3891.5
139,6379.5
140,6237.5
141,7218.0
142,4277.0
143,7448.5
144,4334.5
145,4915.5
146,4723.0
147,4895.5
148,4376.0
149,4830.0
150,3685.5
151,8297.5
152,7852.0
153,8056.0
154,7047.0
155,5053.0
156,3784.5
157,4050.5
158,2855.0
159,3848.0
160,3571.0
161,2346.5
162,3351.5
163,8445.0
164,7670.5
165,8790.5
166,8843.0
167,8283.0
168,7383.0
169,8445.5
170,8127.0
171,8537.5
172,8613.0
173,8104.5
174,8164.0
175,8767.5
176,8707.0
177,8582.5
178,8422.0
179,8490.5
180,6499.0
181,4946.5
182,5228.5
183,4847.0
184,4292.0
185,5926.5
186,6764.0
187,8452.0
188,3708.5
189,5279.5
190,7166.5
191,5579.5
192,8554.5
193,7613.0
194,6874.0
195,8578.0
196,7511.0
197,5592.5
198,5064.0
199,8290.0
200,8149.0
201,7398.0
202,3280.0
203,8123.5
204,8054.0
205,6565.0
206,6293.0
207,7834.0
208,6347.0
209,7723.5
210,7514.0
211,7694.0
212,7666.5
213,7703.0
214,7724.5
215,7655.5
216,7618.0
217,7596.5
218,6899.0
219,7402.5
220,6299.0
221,3120.5
222,7552.5
223,7117.5
224,7215.0
225,7474.5
226,7052.0
227,7303.5
228,7208.5
229,1583.0
230,4688.0
231,6946.5
232,6958.5
233,6885.5
234,6462.0
235,4337.5
236,4855.5
237,4652.0
238,6751.0
239,6710.0
240,5754.0
241,5251.0
242,2148.5
243,4109.5
244,3540.0
245,3632.5
246,5330.0
247,5331.5
248,4613.0
249,4988.5
250,2392.0
251,5224.0
252,2146.0
253,4935.0
254,5771.5
255,5506.0
256,4893.0
257,2129.5
258,4213.5
259,5091.0
260,4432.0
261,2689.5
262,5143.0
263,2783.5
264,5577.5
265,5513.5
266,5072.5
267,5242.5
268,5167.0
269,4737.0
270,3933.0
271,2709.5
272,2211.0
273,2126.5
274,3144.5
275,4504.5
276,4634.5
277,4502.5
278,4508.5
279,4442.0
280,3977.0
281,714.0
282,676.0
283,1833.5
284,742.5
285,1147.0
286,3560.0
287,2690.5
288,2677.5
289,3024.0
290,2258.0
291,1405.5
292,1102.5
293,2599.5
294,2614.5
295,3635.5
296,2654.5
297,1619.0
298,1465.5
299,1223.5
300,2120.5
301,1216.0
302,2931.5
303,1712.5
304,674.0
305,697.5
306,1357.5
307,2075.0
308,750.0
309,2259.5
310,687.5
311,1276.0
312,948.0
313,2787.5
314,2373.5
315,2347.5
316,1668.5
317,2488.0
318,2271.5
319,2551.5
320,2496.0
321,2524.0
322,1314.0
323,1774.0
324,1904.5
325,2311.5
326,877.5
327,1431.5
328,676.5
329,970.0
330,2033.5
331,1566.0
332,1093.0
333,1126.5
334,1450.0
335,489.5
336,659.5
337,1481.5
338,1684.0
339,1720.0
340,1072.5
341,906.0
342,1547.5
343,1108.5
344,319.0
345,832.5
346,460.0
347,571.0
348,800.5
349,711.5
350,1719.5
351,1504.5
352,594.0
353,380.5
354,490.5
355,479.5
356,419.5
357,1373.5
358,1393.5
359,811.5
360,1617.0
361,1456.5
362,984.0
363,812.5
364,1593.5
365,796.5
366,1229.0
367,439.5
368,833.5
369,1389.0
370,1264.5
371,969.5
372,580.5
373,432.0
374,1231.0
375,1358.0
376,1022.0
377,606.0
378,1492.5
379,1013.0
380,2345.5
381,783.5
382,853.0
383,1451.5
384,875.5
385,544.5
386,2343.5
387,444.5
388,875.5
389,581.0
390,2565.0
391,2626.0
392,1814.5
393,1697.0
394,1227.5
395,1856.5
396,1464.0
397,1534.0
398,1214.5
399,1258.0
400,1910.5
401,1588.0
402,3046.5
403,1144.5
404,2511.5
405,828.5
406,1977.0
407,3352.0
408,3397.0
409,3276.0
410,580.5
411,1497.5
412,1693.0
413,1833.5
414,2433.0
415,2740.0
416,2136.0
417,1801.0
418,1940.0
419,3540.0
420,4129.0
421,4189.0
422,4234.0
423,2747.5
424,609.5
425,3577.5
426,3227.0
427,1489.5
428,4370.0
429,4536.0
430,4413.0
431,2260.0
432,1860.5
433,1661.0
434,2163.0
435,4195.0
436,3377.5
437,3137.0
438,1302.5
439,1555.5
440,1342.0
441,1682.5
442,4214.5
443,4910.0
444,4722.5
445,5700.0
446,5121.5
447,2284.0
448,2952.5
449,2837.5
450,1074.5
451,1590.5
452,4512.5
453,2760.0
454,1713.0
455,2331.5
456,3574.0
457,4658.0
458,6195.5
459,3670.0
460,2431.5
461,4579.5
462,3903.0
463,3698.0
464,2177.0
465,5565.0
466,2692.5
467,4206.0
468,4870.0
469,4802.0
470,4316.0
471,4344.0
472,3238.0
473,3594.0
474,4218.5
475,5386.5
476,2918.0
477,2469.0
478,6537.0
479,6554.0
480,6980.0
481,2968.5
482,5129.5
483,1956.5
484,3321.5
485,5604.5
486,5768.5
487,6772.5
488,4628.0
489,5647.0
490,7665.5
491,7372.0
492,6846.0
493,7381.0
494,7741.5
495,7434.0
496,7191.0
497,6014.0
498,1972.0
499,2261.0
500,5396.0
501,4569.0
502,7418.5
503,7832.0
504,8184.5
505,8268.5
506,8245.5
507,7891.0
508,7748.0
509,7876.0
510,8291.5
511,6532.5
512,3237.0
513,8185.5
514,8375.0
515,8513.0
516,2603.5
517,4224.5
518,5206.0
519,5408.5
520,2283.0
521,6798.0
522,8231.5
523,8229.5
524,5941.0
525,4480.5
526,1827.5
527,5801.5
528,8593.5
529,6558.0
530,6335.0
531,7165.0
532,6877.0
533,8407.5
534,8482.5
535,8395.0
536,8530.0
537,4740.0
538,5899.5
539,3316.0
540,6617.5
541,3258.0
542,3704.5
543,3424.0
544,7076.0
545,6270.0
546,8614.0
547,8649.0
548,7420.0
549,7801.5
550,8624.0
551,8299.5
552,8681.0
553,8526.0
554,8314.0
555,5820.5
556,7626.5
557,8147.5
558,8352.5
559,8282.5
560,4251.5
561,3731.5
562,3706.0
563,4463.5
564,7645.0
565,3737.0
566,7733.0
567,7469.5
568,7784.5
569,8102.5
570,8145.5
571,8105.5
572,7943.0
573,5832.0
574,2162.0
575,4199.5
576,6765.5
577,7022.5
578,7252.0
579,4098.0
580,4044.0
581,7402.5
582,7448.0
583,7737.0
584,7675.0
585,6756.0
586,7284.5
587,7288.0
588,6988.0
589,6776.0
590,6794.0
591,6592.0
592,3581.0
593,6713.5
594,4419.5
595,7180.0
596,7015.0
597,1892.0
598,1911.5
599,3270.5
600,6841.5
601,6681.5
602,6646.5
603,6600.0
604,6607.0
605,5560.5
606,6349.0
607,5536.5
608,4234.0
609,5501.5
610,4704.5
611,4655.0
612,3581.0
613,5485.5
614,5385.5
615,6252.0
616,5837.0
617,5852.0
618,5612.5
619,5597.5
620,5543.0
621,3994.5
622,3219.5
623,5443.5
624,4824.0
625,4381.0
626,5402.0
627,5431.5
628,4886.0
629,5247.5
630,5143.5
631,4204.5
632,729.5
633,2513.0
634,3726.5
635,4922.0
636,4829.5
637,4945.5
638,4767.0
639,4762.5
640,4699.5
641,4673.0
642,4220.5
643,2185.5
644,2004.0
645,3133.0
646,3772.0
647,1032.5
648,2855.5
649,2016.5
650,3278.5
651,2830.5
652,3493.0
653,1285.0
654,3585.5
