"","Year","Month","Day","GHI"
"1",2000,1,1,1481
"2",2000,1,2,2819
"3",2000,1,3,2791
"4",2000,1,4,1965.5
"5",2000,1,5,2998.5
"6",2000,1,6,1942
"7",2000,1,7,2530
"8",2000,1,8,947
"9",2000,1,9,1587.5
"10",2000,1,10,2088.5
"11",2000,1,11,567
"12",2000,1,12,1328.5
"13",2000,1,13,2019.5
"14",2000,1,14,1679
"15",2000,1,15,593
"16",2000,1,16,1921.5
"17",2000,1,17,812.5
"18",2000,1,18,1848.5
"19",2000,1,19,816.5
"20",2000,1,20,2283.5
"21",2000,1,21,2065
"22",2000,1,22,1949
"23",2000,1,23,302
"24",2000,1,24,481.5
"25",2000,1,25,1607
"26",2000,1,26,2251.5
"27",2000,1,27,3579
"28",2000,1,28,3169
"29",2000,1,29,3232
"30",2000,1,30,1237
"31",2000,1,31,1770.5
"32",2000,2,1,2358
"33",2000,2,2,3381.5
"34",2000,2,3,496
"35",2000,2,4,1443
"36",2000,2,5,1176.5
"37",2000,2,6,3085
"38",2000,2,7,2781
"39",2000,2,8,1344.5
"40",2000,2,9,1152
"41",2000,2,10,1291.5
"42",2000,2,11,517
"43",2000,2,12,1336
"44",2000,2,13,626
"45",2000,2,14,3546
"46",2000,2,15,3261.5
"47",2000,2,16,1009.5
"48",2000,2,17,3950
"49",2000,2,18,4491
"50",2000,2,19,3525
"51",2000,2,20,1413.5
"52",2000,2,21,4297
"53",2000,2,22,480.5
"54",2000,2,23,3414
"55",2000,2,24,2528.5
"56",2000,2,25,3536
"57",2000,2,26,900.5
"58",2000,2,27,2830.5
"59",2000,2,28,3627.5
"60",2000,3,1,4745.5
"61",2000,3,2,1312.5
"62",2000,3,3,4639.5
"63",2000,3,4,3956
"64",2000,3,5,2093
"65",2000,3,6,1914
"66",2000,3,7,1744.5
"67",2000,3,8,2397
"68",2000,3,9,2572
"69",2000,3,10,3063
"70",2000,3,11,4007
"71",2000,3,12,5606.5
"72",2000,3,13,5534.5
"73",2000,3,14,5150.5
"74",2000,3,15,5784
"75",2000,3,16,5730
"76",2000,3,17,6025.5
"77",2000,3,18,5873.5
"78",2000,3,19,5293.5
"79",2000,3,20,6223
"80",2000,3,21,6244
"81",2000,3,22,5825.5
"82",2000,3,23,5562
"83",2000,3,24,6192.5
"84",2000,3,25,5719
"85",2000,3,26,6193.5
"86",2000,3,27,5270.5
"87",2000,3,28,5483.5
"88",2000,3,29,6388.5
"89",2000,3,30,6722
"90",2000,3,31,6636.5
"91",2000,4,1,6199.5
"92",2000,4,2,6702
"93",2000,4,3,6662.5
"94",2000,4,4,6765
"95",2000,4,5,6147
"96",2000,4,6,6954
"97",2000,4,7,6981.5
"98",2000,4,8,6955
"99",2000,4,9,6971.5
"100",2000,4,10,7112.5
"101",2000,4,11,6003
"102",2000,4,12,4752
"103",2000,4,13,6904
"104",2000,4,14,5325
"105",2000,4,15,4084
"106",2000,4,16,3079
"107",2000,4,17,2642.5
"108",2000,4,18,6208.5
"109",2000,4,19,6422
"110",2000,4,20,7220
"111",2000,4,21,7425
"112",2000,4,22,5378
"113",2000,4,23,7568
"114",2000,4,24,7584
"115",2000,4,25,7095
"116",2000,4,26,7490
"117",2000,4,27,6266.5
"118",2000,4,28,7903.5
"119",2000,4,29,7802
"120",2000,4,30,7869
"121",2000,5,1,6719.5
