"","PRCP","Year","Month","Day","rain","daynum","mP","sdP","detP","detP2"
"1",0.13,1950,1,1,1,1,0.200277777777778,0.195177371509113,-0.0702777777777778,0.251722222222222
"2",0.04,1950,1,2,1,2,0.2459375,0.219836587036826,-0.2059375,0.1160625
"3",0.16,1950,1,3,1,3,0.218709677419355,0.179178531740159,-0.0587096774193548,0.263290322580645
"4",0.26,1950,1,8,1,8,0.262051282051282,0.169397997365586,-0.00205128205128202,0.319948717948718
"5",0.27,1950,1,9,1,9,0.195428571428571,0.160208372718393,0.0745714285714286,0.396571428571429
"6",0.15,1950,1,11,1,11,0.25125,0.22436448711176,-0.10125,0.22075
"7",0.14,1950,1,12,1,12,0.243030303030303,0.226639648568008,-0.103030303030303,0.218969696969697
"8",0.08,1950,1,14,1,14,0.162941176470588,0.160954151419527,-0.0829411764705882,0.239058823529412
"9",0.56,1950,1,15,1,15,0.261333333333333,0.210495856840762,0.298666666666667,0.620666666666667
"10",0.16,1950,1,16,1,16,0.282647058823529,0.22842423083708,-0.122647058823529,0.199352941176471
"11",0.43,1950,1,17,1,17,0.239642857142857,0.19340002954646,0.190357142857143,0.512357142857143
"12",0.59,1950,1,18,1,18,0.233666666666667,0.158255213638218,0.356333333333333,0.678333333333333
"13",0.11,1950,1,19,1,19,0.183928571428571,0.192610512495579,-0.0739285714285714,0.248071428571429
"14",0.48,1950,1,22,1,22,0.232,0.192381361455038,0.248,0.57
"15",0.2,1950,1,23,1,23,0.193235294117647,0.173444962683307,0.00676470588235295,0.328764705882353
"16",0.14,1950,1,24,1,24,0.205454545454545,0.185541284305726,-0.0654545454545455,0.256545454545455
"17",0.03,1950,1,28,1,28,0.211,0.21153543764417,-0.181,0.141
"18",0.09,1950,1,29,1,29,0.203589743589744,0.192018189646699,-0.113589743589744,0.208410256410256
"19",0.09,1950,1,30,1,30,0.211666666666667,0.208757958069797,-0.121666666666667,0.200333333333333
"20",0.01,1950,1,31,1,31,0.18125,0.179708545401499,-0.17125,0.15075
"21",0.27,1950,2,3,1,34,0.19,0.17442212280292,0.08,0.402
"22",0.13,1950,2,4,1,35,0.165172413793103,0.131192897500893,-0.0351724137931035,0.286827586206897
"23",0.41,1950,2,5,1,36,0.168666666666667,0.13999343170142,0.241333333333333,0.563333333333333
"24",0.21,1950,2,6,1,37,0.197096774193548,0.135626780747439,0.0129032258064516,0.334903225806452
"25",0.05,1950,2,7,1,38,0.2696,0.241116845809938,-0.2196,0.1024
"26",0.48,1950,2,8,1,39,0.237142857142857,0.18873569885203,0.242857142857143,0.564857142857143
"27",0.25,1950,2,10,1,41,0.167333333333333,0.151177751814472,0.0826666666666667,0.404666666666667
"28",0.03,1950,2,11,1,42,0.193225806451613,0.17352016399205,-0.163225806451613,0.158774193548387
"29",0.11,1950,2,12,1,43,0.237142857142857,0.160780658563358,-0.127142857142857,0.194857142857143
"30",0.41,1950,2,13,1,44,0.152285714285714,0.145158852423732,0.257714285714286,0.579714285714286
"31",0.17,1950,2,14,1,45,0.162285714285714,0.15158157800312,0.00771428571428573,0.329714285714286
"32",0.29,1950,2,15,1,46,0.248888888888889,0.179853555948448,0.0411111111111111,0.363111111111111
"33",0.3,1950,2,16,1,47,0.18375,0.199139276921714,0.11625,0.43825
"34",0.01,1950,2,18,1,49,0.230263157894737,0.216364143031506,-0.220263157894737,0.101736842105263
"35",0.01,1950,2,19,1,50,0.158108108108108,0.140571014829552,-0.148108108108108,0.173891891891892
"36",0.03,1950,2,22,1,53,0.209714285714286,0.193747648399933,-0.179714285714286,0.142285714285714
"37",0.65,1950,2,23,1,54,0.194137931034483,0.198575592684127,0.455862068965517,0.777862068965517
"38",0.18,1950,2,26,1,57,0.223823529411765,0.18997630962167,-0.0438235294117647,0.278176470588235
"39",0.35,1950,3,2,1,61,0.163181818181818,0.118493895972172,0.186818181818182,0.508818181818182
"40",0.17,1950,3,5,1,64,0.239,0.203068699093987,-0.069,0.253
"41",0.26,1950,3,8,1,67,0.241142857142857,0.222311009340405,0.0188571428571429,0.340857142857143
"42",0.17,1950,3,9,1,68,0.247222222222222,0.208568058246307,-0.0772222222222222,0.244777777777778
"43",0.22,1950,3,10,1,69,0.2071875,0.16561195170756,0.0128125,0.3348125
"44",0.17,1950,3,13,1,72,0.205405405405405,0.191465032992604,-0.0354054054054054,0.286594594594595
"45",0.54,1950,3,17,1,76,0.165,0.172664134161691,0.375,0.697
