"","X","PRCP","Year","Month","Day","daynum","mP","sdP","V8","AWND","TAVG","TMAX","TMIN","GHI"
"6928",6928,0.42,2000,1,1,1,0.167101449275362,0.294733685619824,0.85805784361836,8.28,"42",47,37,1481
"6929",6929,0.33,2000,1,2,2,0.195507246376812,0.329761661845625,0.407848361966801,8.28,"40.5",43,38,2819
"6930",6930,0.12,2000,1,3,3,0.260579710144928,0.582282234118904,-0.241428815628643,9.84,"44.5",49,40,2791
"6931",6931,0.46,2000,1,4,4,0.230434782608696,0.413771870872489,0.554811077193909,10.07,"44.5",51,38,1965.5
"6932",6932,0.12,2000,1,6,6,0.207391304347826,0.424231665948997,-0.205999012714748,6.71,"34.5",42,27,1942
"6933",6933,0.02,2000,1,7,7,0.245217391304348,0.514706108878284,-0.437565024816145,7.16,"47.5",53,42,2530
"6934",6934,0.03,2000,1,8,8,0.22231884057971,0.341743561097466,-0.562757758952657,9.17,"46",50,42,947
"6935",6935,0.17,2000,1,9,9,0.300579710144928,0.467936282923632,-0.279054467264378,11.41,"46",50,42,1587.5
"6936",6936,1.93,2000,1,10,10,0.322898550724638,0.521310851855757,3.08280835427542,5.37,"40",43,37,2088.5
"6937",6937,0.55,2000,1,11,11,0.271594202898551,0.500598533488269,0.556145850371281,11.18,"38",43,33,567
"6938",6938,1.01,2000,1,12,12,0.252608695652174,0.407592112194622,1.85820893409777,8.5,"37.5",42,33,1328.5
"6939",6939,1.61,2000,1,13,13,0.283768115942029,0.579837962784521,2.28724569479564,5.14,"38",43,33,2019.5
"6940",6940,0.15,2000,1,14,14,0.245507246376812,0.423144865445157,-0.2257081538171,10.07,"40",50,30,1679
"6941",6941,0.35,2000,1,15,15,0.289710144927536,0.634593364508265,0.0950054924056467,5.82,"34",37,31,593
"6942",6942,0.27,2000,1,16,16,0.284782608695652,0.376737577162188,-0.0392384768384497,14.99,"40.5",49,32,1921.5
"6943",6943,0.27,2000,1,19,19,0.251014492753623,0.583715646243292,0.0325252670004047,3.58,"36",39,33,816.5
"6944",6944,0.06,2000,1,20,20,0.267826086956522,0.653652339607355,-0.317945908495274,5.14,"40.5",46,35,2283.5
"6945",6945,0.09,2000,1,21,21,0.188985507246377,0.333938814964377,-0.296418094604953,8.72,"43",50,36,2065
"6946",6946,0.01,2000,1,22,22,0.20695652173913,0.320194354341905,-0.615115535512594,4.92,"42",51,33,1949
"6947",6947,0.24,2000,1,23,23,0.193478260869565,0.37396062267915,0.124402774808591,6.71,"36.5",39,34,302
"6948",6948,1.01,2000,1,24,24,0.211014492753623,0.355606958045538,2.24682191720237,5.14,"36.5",38,35,481.5
"6949",6949,0.14,2000,1,25,25,0.235652173913043,0.409671598251968,-0.233485001941025,5.82,"41",50,32,1607
