,Site1,Site2,Site3,Site4,Site5,Site6,Site7,Site8
0,0.785889898,0.152370197,0.25969866,-0.636730518,0.917389612,-0.479843336,-0.54029857,-1.159929935
1,-0.724483024,-1.539817033,-0.216318222,-0.917736145,-0.800018263,-0.608090684,-0.768279947,-0.513125865
2,-0.668980657,-1.442068783,-1.273466126,-0.691179269,-0.859781541,-0.458159002,-0.730740845,0.845645371
3,-0.085615353,-0.413807976,-0.305414968,-0.273738839,-0.808930331,-0.495332146,-0.739896723,-0.927032201
4,-1.913060307,-1.689613051,-1.359559611,-0.833246702,-0.943135586,-0.597558293,-0.794831995,-1.176824071
5,-0.850839476,-0.324311202,-1.021692738,-0.950906074,-0.997132231,-0.691110706,-0.932170174,0.776862102
6,-1.149607536,-1.146919848,-0.607743251,-0.124161234,0.038764582,-0.256804471,-0.525649164,-0.467270353
7,-1.884128222,0.899446105,-0.99766665,-0.408296099,-0.86764513,-0.543657234,-0.278440442,-0.419001393
8,0.596355219,0.212669442,-0.349462797,0.225061794,0.051346325,-0.497190804,-0.921183119,0.0480008
9,0.315891131,-0.435388758,-1.107786223,-0.015263731,-0.912729708,-0.559146044,-0.227167521,1.108711205
10,1.096466972,1.571624003,0.476434003,0.068599864,-0.630164737,-0.19980565,-0.495434764,0.518623164
11,-0.318843385,0.702045419,0.023442121,-0.805709402,0.399965445,-0.054210835,-0.042218774,1.322301355
12,1.239946495,-0.212598917,-0.529157919,-0.611696609,-0.698840082,-0.424703172,-0.358096585,1.725347175
13,1.291315707,0.246310073,0.995998171,-0.13354895,0.334435535,0.03996113,0.577634208,-0.552947758
14,1.223413875,1.663024963,1.57963191,0.50919666,0.774272289,0.671285029,0.991479921,1.354882903
15,0.02479893,0.090801494,1.550600386,2.739717938,2.049746453,3.62840865,2.080113887,-0.711028603
16,0.224371271,1.467528464,1.366900916,2.286604188,2.292993478,1.06593991,2.298939385,-1.883964342
17,0.797108461,0.198705406,1.51556234,0.573033127,0.659463888,0.460017659,1.406241221,0.110750448
18,1.014059496,0.764031732,-0.49355763,-0.268776564,-0.305648844,-0.158400146,0.24367835,0.757667077
19,-0.531451742,-0.678882358,0.495476473,1.101517825,0.064244358,-0.380825981,-0.63424269,1.089312579
20,0.562556371,-0.453693472,-0.534164504,0.05574973,0.065958811,0.348730757,0.642239565,-0.261195756
21,-0.773484634,-0.319783822,-0.345132503,0.304184687,0.225831539,0.394402195,0.289170005,-1.09263568
22,1.466048632,1.380918882,1.496645964,0.986405292,1.065484822,0.370083637,0.171027498,0.132259428
23,1.533603998,1.189834326,1.483110339,1.109972417,0.425993909,0.022506199,0.302749603,0.707820559
24,0.216517376,0.103009566,1.076108103,2.235083614,2.011434181,3.447864051,3.076382589,0.198056832
25,-1.323647754,-0.505351501,0.748919379,-1.136347857,-1.093011315,-0.781192483,-0.90311874,-0.022597088
26,-1.452440357,-1.716556759,0.316712876,-1.045298396,-0.968713483,-0.800172821,-1.029409006,-1.533278901
27,-1.439318092,-1.320846222,-0.683523123,-1.002375078,-0.945996983,-0.816187481,-0.851516266,-1.870905985
28,-0.850760196,-1.320344687,-0.863686957,-0.856045587,-0.28507541,-0.974554675,-0.666833727,-1.870905985
29,1.394119178,0.719395182,1.709948741,1.243294842,1.763267131,0.642332858,-0.055072816,0.933126822
30,0.489168887,0.241433024,-0.015143304,0.101924813,0.164968463,0.275181947,0.445335387,0.822135241
31,-0.044955909,-0.293202506,-1.50126156,-1.045948749,-1.033005465,-0.791868923,-1.013792467,1.709403266
32,-1.276990811,-1.266178986,-1.538601215,-0.852143467,-1.046292475,-0.753908247,-0.913982419,0.143557973
33,-0.170346443,1.587551,-1.006511136,-1.006927551,-1.022290135,-0.806104176,-0.478077308,-0.307719173
34,0.693293013,0.778074691,0.540284059,0.710005142,1.599965497,0.244932034,-0.078158133,-0.200050693
35,0.494028985,1.110591911,-0.885624004,-0.634275114,-0.687114603,0.517181255,1.453620573,0.665949484
36,-1.136970854,-0.946513227,-1.346790125,-0.678132364,-1.492571399,-0.947899383,-0.844580037,0.066779792
37,-1.290983544,-0.586162699,-1.365153281,-0.730503273,-1.278596018,-0.796228851,-0.700280499,-0.067823226
38,-0.296433735,0.52073523,-0.930150522,1.177734207,0.36240405,1.998984456,1.924645361,0.682406001
39,0.514409421,0.692295044,0.41729705,-0.160144469,-0.272316481,-0.307899467,-0.457061844,-0.983436783
40,0.654564927,0.591906332,0.675197372,-0.149582269,1.048503734,-0.742025284,-0.978681727,-0.415286832
41,0.82164296,1.198359039,0.376081967,-0.549185505,-0.313357147,-0.660968574,-0.781353384,0.891614568
42,0.807389858,0.618127264,-0.58043442,-0.632802922,-0.827775266,-0.204465138,-0.557000747,0.772141347
43,1.010100647,1.209971166,1.616615164,0.634220995,0.787848511,0.746832328,0.828886683,1.100823136
44,1.183117473,-0.924787311,1.050621892,-0.727422631,0.683837052,0.300274501,-0.250555439,0.959959512
45,-0.775100422,-0.682056395,-0.380480056,-0.905219665,-0.277642369,-0.826562958,-0.992448821,-0.997523145
46,0.708409981,1.005822478,1.799022512,1.056268906,1.17193902,-0.187060322,1.204167459,-1.829661961
47,0.46689908,-1.176508262,-0.339673043,-1.335629318,-1.615066822,-1.043377226,-1.11125374,-1.958526091
