,Site1,Site2,Site3,Site4,Site5,Site6,Site7,Site8
0,846.8107325,787.7378913,998.91415,798.9163866,953.7629491,807.0342353,546.0972362,414.3449501
1,1028.78579,996.9408505,1071.247186,768.8128982,1166.552934,842.9776172,736.3987991,752.3093151
2,1262.882954,1334.811423,1225.279584,1136.126936,1595.977997,1005.468882,980.5991244,958.3737528
3,1453.111689,1289.75589,1443.942981,1373.919978,1737.600998,1309.729806,1063.705424,939.4358236
4,803.5759354,395.0764889,1163.313358,650.9909143,546.9336443,1125.798078,1006.651594,1466.606137
5,2023.624286,1541.93914,2021.921947,1150.824357,1599.429793,274.8027983,169.0738662,1671.996994
6,1778.555767,1074.797138,1102.21313,245.9436413,1582.766978,269.9759763,278.2256556,1316.375005
7,2276.714763,1819.160937,1243.178466,733.1603773,1769.320603,274.8278249,473.0284588,1325.327735
8,1474.087548,851.8643914,1260.072943,331.3894256,1148.244457,226.3177598,167.2519077,1739.966602
9,850.5236223,309.860643,328.4098285,532.3402944,696.2928473,1256.080721,1038.644854,1219.00711
10,1348.533189,508.2050658,161.7835393,153.702896,497.007272,317.6638745,495.7987142,1472.737158
11,284.7666429,489.1781318,648.0324096,473.7282333,455.8725396,416.286445,593.8911502,1288.801053
12,188.9389415,100.5681085,107.7977215,382.6613998,373.3837567,301.065906,545.4437286,1571.650788
13,2011.285156,2016.075686,983.272371,1047.558607,1477.922907,1692.055284,1265.999984,1212.214803
14,1370.193554,740.8081902,1056.190036,213.6507567,1671.847095,194.1163204,179.581185,1259.99955
15,1450.142512,1230.846482,970.3558089,248.3682442,1301.567308,410.1758365,402.1982382,1321.408298
16,1245.161335,1303.69033,1205.011644,958.4460658,1163.877351,1165.475965,703.9864513,751.7330024
17,914.9736913,540.3194928,587.1477089,325.0623504,567.8334998,504.686953,662.9515541,745.6929627
18,689.1020929,889.6476401,641.9719884,411.7641969,793.958997,495.9256217,478.2007793,493.2241848
19,809.2939696,727.8795879,685.6384185,347.2643086,511.2859755,295.1470234,294.8668315,443.6143185
20,829.4052221,860.140993,838.7547009,781.802991,1049.416212,977.3874651,791.0522221,411.8960309
21,878.2527201,931.0916155,845.7455291,966.5317886,663.8631939,968.6275056,692.4343843,663.8332194
22,1113.945434,1130.135243,1290.968072,1148.19651,1320.493471,543.5695103,544.9777264,854.0426089
23,1256.600457,1308.727268,1282.787124,1245.153058,1551.706941,1635.728006,1169.464323,1081.330973
24,872.248179,574.6402317,1146.955429,408.157861,901.5355727,741.3851755,760.1410916,1273.425402
25,1654.740286,1267.925834,1519.198055,803.8921562,1551.083632,926.858955,598.5673437,1290.341351
26,1589.234848,1257.416792,1558.330169,399.9793214,1218.155332,675.7126856,916.7884536,1435.942056
27,1586.471907,749.3017717,1000.674401,1504.487872,1257.346713,878.7502489,704.8035631,1733.463164
28,510.3899713,456.2284055,153.4063056,124.9568321,1877.210287,248.4383385,335.5810145,2155.430529
29,544.9321285,478.5164227,256.1963118,218.9995085,521.8346412,457.9944269,882.6739804,1931.454628
30,2081.413624,1928.743771,1332.946233,1144.017315,1383.665199,1150.319265,1471.262131,1817.185356
31,560.3536306,168.9242105,175.1765357,162.8348592,416.7223704,150.9453774,293.6678595,2074.482282
32,344.4092466,162.7480277,206.8545685,427.8112433,399.2976666,507.0463558,1219.571911,1232.518971
33,300.9939963,264.4127665,210.5932263,539.6906579,685.4811193,366.004929,439.3959632,1658.554381
34,1446.58505,396.564292,573.4868691,582.1350503,991.7559736,344.9855573,355.7980076,786.258901
35,674.2617568,512.0649411,226.3179439,215.5849923,737.2065104,808.221279,877.5161042,1330.871031
36,630.6573345,539.2940666,361.6750479,512.5107444,719.6571114,337.3101935,259.6615214,907.2673481
37,1135.127218,862.3385862,897.7289939,1066.77614,1056.882194,608.187591,635.0659518,869.0485574
38,766.0997038,767.5200866,981.5163899,685.0304383,883.9675396,576.0445404,698.9979181,491.960634
39,625.9010425,703.9151255,739.6328773,418.8018919,816.9949723,292.7880941,546.4874424,322.5231928
40,702.5939615,461.1234813,695.4140254,674.8142023,676.0305559,664.474756,573.9866245,528.2193745
41,883.1363971,812.9288934,1065.347442,357.0177108,637.183621,659.0338098,592.0561922,411.7267912
42,842.4269833,928.4362172,1033.691075,618.8004481,820.4049441,416.4435486,553.0626402,608.377941
43,1061.287485,983.8632725,952.5878382,480.8191161,683.4682636,672.8502352,818.6738128,978.9704803
44,1303.540734,1087.303573,1377.486951,633.2549397,720.4192929,627.532251,747.3528758,829.6023404
45,1048.765987,1321.002124,1501.730576,719.0130818,1203.544013,566.835593,445.3052185,1543.094503
46,1505.085812,1337.067638,1451.863023,936.6286057,1140.992042,1030.824031,784.9807598,1457.197703
47,1940.646832,1017.793186,1339.296033,153.2153532,1200.941864,168.8293138,178.0556617,1770.388266
48,1492.508653,1591.604416,1152.827203,708.9291639,1222.611763,544.4937903,742.5163074,1704.088858
49,228.9171975,232.7040473,170.4735892,299.5240425,1185.33256,406.2111947,399.6225302,2026.068023
50,297.2774209,258.3198817,221.4876975,198.9010258,1014.439279,291.0356932,617.3230122,2002.116229
51,770.0527123,498.3775134,435.362957,875.6727414,849.5915545,301.0521365,1296.236242,1034.057276
52,665.0877669,282.3949165,284.712428,377.0910589,562.9741842,306.5447788,685.7583844,793.5194557
53,348.1803193,290.2480487,349.7949223,220.6727876,1450.794622,256.9982301,587.3783831,1225.244567
54,524.6512069,236.6055803,1067.263856,960.2574231,850.0414532,1073.366031,1178.619051,1161.538577
55,677.3679157,393.401944,980.312732,291.0214517,1401.680442,295.5235115,131.0392458,1133.335579
56,225.9799937,592.7098081,295.573621,424.0673254,975.689312,534.5576262,503.4931076,857.9092448
57,1187.813388,784.8208493,971.354599,765.4773122,1130.31951,821.8230492,681.1546773,806.1828649
58,604.2594443,722.2025126,760.3859136,355.4573953,336.8327251,359.2186351,582.550621,676.3169007
59,797.7882195,776.0080148,769.3451726,772.4944589,746.0581438,733.1352047,669.2125463,552.3139239
60,745.1644637,882.1435103,676.2212985,342.1386904,569.7818296,470.0512974,621.068233,352.5473263
61,872.983999,920.6766554,732.9929176,579.4324863,529.7841578,573.3432123,456.8472271,646.5026902
62,997.2984929,1057.730878,771.803878,477.4184413,623.3923726,451.354697,459.9891848,766.3855926
63,1148.664832,1061.764537,937.654098,1204.190887,1320.242562,1339.854786,1214.480662,1010.717711
64,1330.16901,851.1753965,1144.220686,1038.008409,1341.730829,1074.178319,1324.878809,928.6345732
65,1513.942714,810.3377006,913.9301882,278.4721488,988.4493815,537.345094,601.7862127,898.6267438
66,1588.368889,1424.539311,1779.273855,1483.406347,1580.847029,481.2828055,546.1750704,1110.004139
67,1471.290307,1496.613689,1616.232068,627.7795188,1100.765794,428.314963,437.4306127,1473.953733
68,561.1678354,294.839469,898.5291376,969.6159769,1748.824779,934.8596122,847.6580851,1330.154828
69,665.2813692,606.7107559,161.4104403,311.6740307,2111.745671,218.5724818,210.9801952,2038.80684
