,Site9
0,414.3449500770113
1,752.3093150796124
2,958.3737527708071
3,939.435823601946
4,1466.6061372189859
5,1671.996994106888
6,1316.3750052021603
7,1325.3277352073624
8,1739.9666016022716
9,1219.0071096319878
10,1472.7371583735917
11,1288.8010530415422
12,1571.6507883805752
13,1212.2148029103842
14,1259.9995495908463
15,1321.4082975707731
16,751.733002431345
17,745.6929626855583
18,493.2241847787041
19,443.6143185022852
20,411.8960309080166
21,663.83321942328
22,854.0426088772022
23,1081.3309732043706
24,1273.4254017640862
25,1290.3413511428423
26,1435.9420556524412
27,1733.4631639856273
28,2155.4305290201537
29,1931.4546275786706
30,1817.1853557862364
31,2074.4822818366806
32,1232.518970692656
33,1658.5543813220202
34,786.2589010075372
35,1330.8710307979823
36,907.2673480816235
37,869.0485573670371
38,491.9606340268485
39,322.52319277308294
40,528.2193744664506
41,411.72679123088886
42,608.3779410332055
43,978.9704803460056
44,829.6023404076657
45,1543.0945029588202
46,1457.197702805535
47,1770.3882656386736
48,1704.08885836137
49,2026.0680234884685
50,2002.1162291589687
51,1034.057276275006
52,793.5194556803316
53,1225.2445674231737
54,1161.5385766168663
55,1133.3355790418927
56,857.9092448368552
57,806.182864943429
58,676.3169006865945
59,552.3139238917406
60,352.54732630378953
61,646.5026901684646
62,766.3855925989279
63,1010.7177107852923
64,928.6345731904942
65,898.6267438104422
66,1110.0041392009355
67,1473.9537333392427
68,1330.1548283128361
69,2038.8068398568103
70,2045.9724226687388
71,954.9309283566528
72,1410.9965726152911
73,971.0909549300279
74,1503.5980262993692
75,1111.1873848820403
76,893.0204403844542
77,739.9848206025731
78,663.5010094236276
79,468.2704880728659
80,446.3467759987121
81,303.9139348301598
82,456.73854276885504
83,939.395872734108
84,946.6667840375515
85,1180.9601022546376
86,1491.0395435818232
87,1627.2126351145826
88,1360.4382792792899
89,2041.7461836367079
90,2498.8846908776063
91,1178.9449732705932
92,1134.1111332228427
93,1366.348734755932
94,1652.0587903926362
95,1211.149456898051
96,1032.3114066393812
97,840.3979877283011
98,750.620788862685
99,374.1747307965446
100,432.9677241484878
101,609.6381187249278
102,379.63692450082414
103,757.6803868867397
104,963.1968072549727
105,1656.5522093258098
106,997.9207152164067
107,1638.1400381903318
108,1394.0653335912875
109,1983.0396337550114
110,1458.9907375381867
111,2320.0336039831645
112,1120.7502309823155
113,717.4952746435355
114,948.2986519727492
115,1284.9501491507244
116,1228.1454982896512
117,747.466081645098
118,593.174773991612
119,658.3168750872876
120,632.9810478556561
121,321.366926407944
122,447.3253849269008
123,740.4021617412466
124,1149.5934402788225
125,983.8250767467774
126,969.1524154233882
127,1461.489979396555
128,1616.442718595373
129,2032.651446265732
130,1508.8144099295682
131,1503.7006849769007
132,1849.1074239838254
133,943.9521842128693
134,1130.6533086322206
135,1167.3127989209625
136,1088.402779815961
137,1095.4372559100784
138,857.0354611308697
139,601.4054892499735
140,478.4387191947275
141,440.1693250582351
142,586.5146168965725
143,586.5042447985066
144,728.8152211248129
145,701.4681126874434
146,1285.295860221478
147,1478.5184641273277
148,1435.2298061462552
149,1560.1945670945524
150,1869.2613277082025
151,1820.165739977449
152,1579.898988068541
153,2046.4228109038597
154,1812.5822597340152
155,724.2719572477977
156,1180.1035438589256
157,748.00784031096
158,917.7536719998105
159,723.8240745478571
160,644.0977324047096
161,425.22209247885837
162,399.31203183153906
163,720.4797055940156
164,675.6443066930016
165,641.9876932640291
166,966.6099839703246
167,1045.210267772961
168,1093.1974000863502
169,1574.524451037068
170,1673.2733887005234
171,1799.476915807672
172,1446.215301503365
173,1525.8920665517048
174,1517.2671361695013
175,1521.13432637913
176,1078.4988828356652
177,1060.516226498523
178,628.6697847856767
179,602.8352225571724
180,415.63379481087543
181,509.56878480791704
182,379.61172597800504
183,597.6346850886314
184,707.851950260543
185,831.711588633143
186,1095.1758881934202
187,1286.9068092921373
188,1496.71661247397
189,1702.3782057919902
190,1131.5529097900467
191,1411.1207438975678
192,1760.8334062943666
193,1781.6782116869479
194,1599.6221515651057
195,1346.95796405992
196,1109.084158449976
197,908.4368208971543
198,821.1080556438415
199,709.3157941518949
200,522.3220272536101
201,564.1420203599466
202,484.33252720995347
203,382.3120140412107
204,566.7553396035505
205,1041.256606695801
206,980.3329952805844
207,1311.538727347894
208,1092.654232763752
209,1170.4306098611742
210,1506.980352106756
211,1513.7957341369931
212,1936.5693808436063
213,1222.2296211897255
214,1167.1626392852068
215,1141.610654208548
216,1340.2041925683482
217,1307.918202599596
218,1198.534141986023
219,771.6444301251776
220,504.49752229322195
221,417.74071570240255
222,382.34156022179894
223,585.7934526228528
224,642.1490659025412
225,622.230065054739
226,936.538544024988
227,789.9619447975928
228,1377.251167281327
229,1415.4326905186588
230,1653.882624414292
231,1590.4316046417118
232,1509.8268102380418
233,2058.159040453985
234,2172.7996149361466
235,1374.1418118723418
236,1191.4152531991333
237,1244.5551860448418
238,1079.9092554469564
239,784.1738127946121
